22:14:08 ASSIGN: 1, start: -1, lenght: 5
22:14:10 ASSIGN: 2, start: 13, lenght: 7
22:14:12 ASSIGN: 3, start: -1, lenght: 8
22:14:14 ASSIGN: 4, start: 10, lenght: 7
22:14:16 ASSIGN: 5, start: 20, lenght: 7
22:14:18 ASSIGN: 6, start: 46, lenght: 8
22:14:20 ASSIGN: 7, start: 0, lenght: 9
22:14:22 ASSIGN: 8, start: 5, lenght: 8
22:14:24 ASSIGN: 9, start: -1, lenght: 7
22:14:26 ASSIGN: 10, start: -1, lenght: 9
22:14:28 ASSIGN: 11, start: -1, lenght: 7
22:14:30 ASSIGN: 12, start: -1, lenght: 6
22:14:32 ASSIGN: 13, start: -1, lenght: 8
22:14:34 ASSIGN: 14, start: -1, lenght: 9
22:14:36 ASSIGN: 15, start: -1, lenght: 6
22:14:38 ASSIGN: 16, start: -1, lenght: 8
22:14:40 ASSIGN: 17, start: -1, lenght: 7
22:14:42 ASSIGN: 18, start: -1, lenght: 6
22:14:44 ASSIGN: 19, start: -1, lenght: 7
22:14:46 ASSIGN: 20, start: -1, lenght: 9
22:14:48 ASSIGN: 21, start: -1, lenght: 5
22:14:50 ASSIGN: 22, start: -1, lenght: 5
22:14:52 ASSIGN: 23, start: -1, lenght: 9
22:14:54 ASSIGN: 24, start: -1, lenght: 8
22:14:56 ASSIGN: 25, start: -1, lenght: 9
22:14:58 ASSIGN: 26, start: -1, lenght: 8
22:15:00 ASSIGN: 27, start: -1, lenght: 6
22:15:02 ASSIGN: 28, start: -1, lenght: 7
22:15:04 ASSIGN: 29, start: -1, lenght: 8
22:15:06 ASSIGN: 30, start: -1, lenght: 8
22:15:08 ASSIGN: 31, start: -1, lenght: 7
22:15:10 ASSIGN: 32, start: -1, lenght: 8
22:15:12 ASSIGN: 33, start: -1, lenght: 6
22:15:14 ASSIGN: 34, start: -1, lenght: 9
22:15:16 ASSIGN: 35, start: -1, lenght: 7
22:15:18 ASSIGN: 36, start: -1, lenght: 6
22:15:20 ASSIGN: 37, start: -1, lenght: 6
22:15:22 ASSIGN: 38, start: -1, lenght: 6
22:15:24 ASSIGN: 39, start: -1, lenght: 8
22:15:26 ASSIGN: 40, start: -1, lenght: 9
22:15:28 ASSIGN: 41, start: -1, lenght: 9
22:15:30 ASSIGN: 42, start: -1, lenght: 8
22:15:32 ASSIGN: 43, start: -1, lenght: 6
22:15:34 ASSIGN: 44, start: -1, lenght: 5
22:15:36 ASSIGN: 45, start: -1, lenght: 6
22:15:38 ASSIGN: 46, start: -1, lenght: 7
22:15:40 ASSIGN: 47, start: -1, lenght: 9
22:15:42 ASSIGN: 48, start: -1, lenght: 5
22:15:44 ASSIGN: 49, start: -1, lenght: 9
22:15:46 ASSIGN: 50, start: -1, lenght: 7
22:15:48 ASSIGN: 51, start: -1, lenght: 6
22:15:50 ASSIGN: 52, start: -1, lenght: 7
22:15:52 ASSIGN: 53, start: -1, lenght: 7
22:15:54 ASSIGN: 54, start: -1, lenght: 9
22:15:56 ASSIGN: 55, start: -1, lenght: 6
22:15:58 ASSIGN: 56, start: -1, lenght: 5
22:16:00 ASSIGN: 57, start: -1, lenght: 5
22:16:02 ASSIGN: 58, start: -1, lenght: 8
22:16:04 ASSIGN: 59, start: -1, lenght: 6
22:16:06 ASSIGN: 60, start: -1, lenght: 8
22:16:08 ASSIGN: 61, start: -1, lenght: 7
22:16:10 ASSIGN: 62, start: -1, lenght: 6
22:16:12 ASSIGN: 63, start: -1, lenght: 5
22:16:14 ASSIGN: 64, start: -1, lenght: 6
